date,Aggravated Assault,Robbery,Larceny-Theft
2007-01-14,23,30,100
2007-01-15,22,21,108
2007-01-16,15,35,118
2007-01-17,20,23,89
2007-01-18,27,21,75
2007-01-19,17,37,113
2007-01-20,30,28,99
2007-01-21,17,30,65
2007-01-22,25,30,96
2007-01-23,27,36,113
2007-01-24,20,35,95
2007-01-25,16,29,100
2007-01-26,17,19,104
2007-01-27,12,34,79
2007-01-28,26,31,85
2007-01-29,13,18,95
2007-01-30,22,35,91
2007-01-31,21,36,99
2007-02-01,30,18,99
2007-02-02,19,31,81
2007-02-03,24,21,77
2007-02-04,14,25,86
2007-02-05,20,31,81
2007-02-06,17,16,92
2007-02-07,14,15,85
2007-02-08,17,21,84
2007-02-09,22,23,88
2007-02-10,23,37,86
2007-02-11,22,18,61
2007-02-12,20,20,90
2007-02-13,17,27,85
2007-02-14,21,16,51
2007-02-15,11,18,60
2007-02-16,17,18,76
2007-02-17,19,30,62
2007-02-18,28,31,71
2007-02-19,22,25,67
2007-02-20,10,25,83
2007-02-21,24,27,92
2007-02-22,21,19,90
2007-02-23,25,30,87
2007-02-24,29,15,76
2007-02-25,28,21,104
2007-02-26,17,12,90
2007-02-27,19,30,94
2007-02-28,26,21,95
2007-03-01,28,22,98
2007-03-02,28,30,85
2007-03-03,32,24,111
2007-03-04,28,23,89
2007-03-05,27,24,102
2007-03-06,31,19,88
2007-03-07,14,23,75
2007-03-08,20,17,84
2007-03-09,24,23,105
2007-03-10,26,33,83
2007-03-11,24,27,89
2007-03-12,27,31,112
2007-03-13,26,22,113
2007-03-14,30,18,98
2007-03-15,29,22,99
2007-03-16,11,14,77
2007-03-17,17,18,64
2007-03-18,26,12,73
2007-03-19,27,27,79
2007-03-20,15,21,106
2007-03-21,23,31,93
2007-03-22,23,16,96
2007-03-23,27,29,120
2007-03-24,23,28,92
2007-03-25,38,28,97
2007-03-26,24,24,122
2007-03-27,20,29,115
2007-03-28,27,23,113
2007-03-29,23,26,115
2007-03-30,39,27,97
2007-03-31,41,22,93
2007-04-01,29,31,83
2007-04-02,21,28,127
2007-04-03,22,21,121
2007-04-04,19,18,105
2007-04-05,15,24,123
2007-04-06,20,21,111
2007-04-07,26,28,107
2007-04-08,25,32,61
2007-04-09,16,31,113
2007-04-10,28,21,79
2007-04-11,25,18,100
2007-04-12,27,23,121
2007-04-13,34,37,106
2007-04-14,29,24,98
2007-04-15,27,25,74
2007-04-16,20,15,99
2007-04-17,14,24,95
2007-04-18,31,26,119
2007-04-19,26,24,116
2007-04-20,36,28,97
2007-04-21,41,22,97
2007-04-22,35,24,100
2007-04-23,23,24,123
2007-04-24,35,24,110
2007-04-25,38,20,113
2007-04-26,24,22,130
2007-04-27,22,28,110
2007-04-28,27,32,103
2007-04-29,28,24,133
2007-04-30,28,21,121
2007-05-01,32,28,127
2007-05-02,32,23,117
2007-05-03,30,24,114
2007-05-04,38,39,120
2007-05-05,28,36,96
2007-05-06,32,34,113
2007-05-07,27,15,128
2007-05-08,28,21,107
2007-05-09,24,25,126
2007-05-10,27,29,119
2007-05-11,46,35,128
2007-05-12,45,29,100
2007-05-13,34,30,112
2007-05-14,25,35,138
2007-05-15,28,29,109
2007-05-16,24,22,92
2007-05-17,22,30,114
2007-05-18,25,34,134
2007-05-19,27,29,90
2007-05-20,29,14,96
2007-05-21,36,27,137
2007-05-22,31,21,113
2007-05-23,38,26,109
2007-05-24,25,29,117
2007-05-25,26,38,109
2007-05-26,32,28,107
2007-05-27,26,19,103
2007-05-28,29,27,103
2007-05-29,37,30,122
